Date,AAPL,AMZN,AVGO,BRK-B,GOOGL,META,MSFT,NVDA,TSLA,TSM,MCD,BA
2020-06-08,98.47920044250758,98.63876160695982,101.1763473284194,101.56869882865152,97.89397059854153,98.54765712321064,98.48392416807116,98.26616203920406,102.01706933110486,100.38253737768399,101.95743415607564,102.64144999302383
2020-06-09,101.15523784457143,100.24141457493313,101.0651818711691,100.42227642710286,98.6445911250875,99.6758395444735,99.21791288006077,99.3751856568023,101.6184945964531,101.78456176263093,101.01415234913497,101.75732359186075
2020-06-10,102.48395630351746,101.32794992985195,101.09971283801534,99.33259098850782,99.39035803533801,99.58095965220681,101.139133547827,100.68979664480815,102.91427404780116,102.32047312473726,99.24593541990468,101.13131290595001
2020-06-11,102.37324361714369,102.30435367779685,100.60588110872412,98.61931002163126,100.26203775713265,99.90371714959585,101.4758306070723,100.74381217506121,102.29843678490262,102.3338261996554,101.33285135431659,100.19345596402817
2020-06-12,101.82848055303788,101.4623164191052,100.87970479132466,98.85364002127581,100.10160947727154,100.2152525959217,101.29857490772528,100.8893586598974,101.13717961236435,101.97941754638452,100.85254842904293,100.78939486656846
2020-06-15,101.70651150996721,101.4407069316857,100.96580042566829,98.47743498149715,100.07658796282281,100.87996187517949,101.2765035949417,101.82034866157136,101.68745900990662,101.46796746963668,100.04592922237062,100.67609953812568
2020-06-16,101.64360218039862,101.19683368331789,100.97909948273906,98.0655155211591,100.14452795212246,100.83127419528212,101.39555389848536,100.57606385216361,101.06882121813439,100.70950184540719,98.41759219709051,100.70273906159365
2020-06-17,101.45715313207144,101.44239249208125,101.43018012608039,98.24364754776848,100.67411335885862,100.99645867101869,101.48420880838631,101.28271854624451,101.13100718915999,101.07067876630315,99.15314286248221,100.41025584335027
2020-06-18,101.2542555535001,101.36876056045637,102.12258924134743,98.47151711918761,99.86170166283357,100.9620739943205,101.62391178707047,101.03202282475566,101.18805326275806,100.91581214568765,98.550642588021,100.29582647664574
2020-06-19,101.09294653054961,101.54056752716777,99.98765197065246,98.68614377519596,99.89632861880136,101.64156799783433,101.38415990393025,101.30275651331604,101.09516828623167,100.53751555182602,97.95926962021507,99.95580447407008
2020-06-22,101.41581146587843,101.5135122311054,101.75250054774752,98.72061883151369,100.8362744434093,101.30764346400146,101.7970680136273,101.7612478216577,100.75338605758293,100.63220415602346,98.18112787978163,99.81769554393405
2020-06-23,101.59617916608062,101.61627303544745,100.80455168525798,98.88702464034549,101.23118425003155,101.51674437775301,101.57603002155052,101.16662000570307,100.70235001047448,100.87584744614686,97.9476490848629,99.46472855259135
2020-06-24,101.5691376054368,101.70967209938635,101.53181907626436,99.23135597396512,101.38888549372021,100.99068774526307,101.5041599420485,101.11298351046086,100.31408966467372,101.68034032422518,99.00351552848441,98.79814133005475
2020-06-25,101.45060994118732,101.41195005662838,101.03188560604666,99.2242861479394,100.89081254336368,100.70894187175898,101.36613493984608,101.42215816967251,100.51487881722522,101.35747852577755,98.16799107238938,98.57946531644794
2020-06-26,101.16504749220883,101.3489493347521,101.97081521620049,99.49321772668999,98.53471958543813,97.92864297188173,101.3499961523666,100.93886431855283,100.35172975431578,101.69799320424636,98.80603800709711,98.72537504972178
2020-06-29,101.41436558568648,100.7427548987737,101.3279350543059,99.34545157142801,99.04413733787014,98.0657656455446,101.16461942025622,100.54878452484525,101.51501068928694,101.05765367220768,99.05170476927147,100.89187651061346
2020-06-30,101.08389582577458,101.11400609871028,101.33488252514182,98.82623260296067,98.8304760303103,98.79156493128818,101.49917680526958,101.3276149517356,103.06430564887506,100.4568033023786,98.83526801846067,99.46930462630085
2020-07-01,100.68861226213606,102.09784789483862,100.38268650408133,98.28451869445678,99.95482371088308,100.53735595383426,101.33591189439737,101.07939467704682,102.74673110292585,100.10446777428909,98.7811246775937,99.08947184886142
2020-07-02,100.39501128042538,101.71455029173893,100.54615229368561,98.49059019125738,101.37839179479715,99.52869207966968,101.28117660458021,101.16344618337014,102.88279859388747,101.65298853391951,98.3335314148189,98.9735283421417
2020-07-06,100.78132958522971,102.33076023110753,100.05450413916223,99.0460444448135,101.55660327863623,100.1165368909866,101.35016380463259,101.4217904294083,102.97840651923951,102.6943788762088,99.08557312076356,99.63545678936232
2020-07-07,101.05461786396899,101.76852970423616,99.37174571463112,99.35785944052664,101.63970750024743,100.69153960937638,101.19856314947702,101.8476290629856,102.37819428487042,101.86335235326148,98.91521885959364,98.81364998252425
2020-07-08,101.6459514602409,101.9106623711445,100.35226980151835,98.43740586400406,101.48775762163521,100.77537424406093,101.70751235465691,102.61985250506311,101.73493670248523,102.18744867494458,98.51564721830013,98.90874498760054
2020-07-09,101.88171190549345,102.25713976742394,101.27248924144209,97.89125642404353,102.09710369020185,101.08010708702423,102.05200069093891,102.80591142824085,101.65307871250891,102.53341182854628,98.41738457444129,98.3380877386691
2020-07-10,101.30677672186444,101.79654428163093,99.780081224316,99.54892993289108,101.84853673029484,100.6722990722618,101.2291617469814,101.91079171497348,101.98794217981846,101.55579294176503,98.04354401931641,98.94973186255149
